주소,병원분류명,병원경도,병원위도,행정구역,geometry
서울특별시 송파구 송파대로 562 4층 (신천동 웰리스타워삼성웰리스아파트),의원,127.099502662936,37.5153235254771,송파구,POINT (964607.1708563988 1946301.6858917645)
서울특별시 송파구 위례성대로 6 (방이동 현대토픽스 3층 301호),의원,127.11315120723508,37.51684033173274,송파구,POINT (965814.0194870132 1946464.9189748578)
서울특별시 송파구 양재대로 1164 홍일빌딩 502호503호 (오금동),의원,127.128258090026,37.5110472091949,송파구,POINT (967146.4863076925 1945816.8274264587)
서울특별시 송파구 송파대로 404-1 2층 (송파동),의원,127.1092315168,37.5034695162,송파구,POINT (965461.473073757 1944982.945316888)
서울특별시 송파구 거마로 61 강동중앙의원 2층 (마천동),의원,127.14641603571,37.4984748324042,송파구,POINT (968745.9996989224 1944415.8214997528)
서울특별시 송파구 마천로41길 5 자매빌딩 201호 (마천동),의원,127.148131799561,37.4973321103558,송파구,POINT (968897.186081098 1944288.4759551813)
서울특별시 송파구 성내천로 260 (마천동),의원,127.15399104138665,37.49740453054817,송파구,POINT (969415.1353732955 1944294.5904164156)
서울특별시 송파구 올림픽로 119 3층 3A10호 3A10-1호 (잠실동 파인애플상가),의원,127.08464157320682,37.51203365192579,송파구,POINT (963292.2465431687 1945942.3895059028)
서울특별시 송파구 송파대로 422 (송파동 안흥빌딩 2층 2호`),의원,127.10789097494307,37.50506651354008,송파구,POINT (965343.725460119 1945160.6144620809)
서울특별시 송파구 올림픽로 119 잠실파인애플상가 3A층 13호 (잠실동),의원,127.0842299720129,37.51213124849863,송파구,POINT (963255.9185182129 1945953.3778822438)
서울특별시 송파구 송파대로28길 27 102동 211212호 (가락동 송파성원쌍떼빌),의원,127.12009296353344,37.49488500287311,송파구,POINT (966417.634111572 1944026.6205900284)
서울특별시 송파구 삼전로 77 성원빌딩 2층 (잠실동),의원,127.08872771116675,37.505620276377925,송파구,POINT (963650.2552287013 1945229.2805367548)
서울특별시 송파구 송파대로 438 4층 (송파동),의원,127.1070183649,37.5059258795,송파구,POINT (965266.9982742197 1945256.2771796784)
서울특별시 송파구 마천로 30 201호 (방이동 코오롱아파트 A상가 ),의원,127.12404287394722,37.50921771727911,송파구,POINT (966773.1449097077 1945615.3373948645)
서울특별시 송파구 법원로 114 C동 203호 (문정동 엠스테이트),의원,127.1210105111,37.4860541974,송파구,POINT (966494.797955584 1943046.5767118908)
서울특별시 송파구 중대로 68 4층 405호 (문정동 훼미리 샤르망),의원,127.1164375286,37.4915657496,송파구,POINT (966093.0055145965 1943659.6825656071)
서울특별시 송파구 동남로 189 4층 403호 (가락동 가락쌍용아파트 프라자상가),의원,127.12995413555328,37.49469752178148,송파구,POINT (967289.246403556 1944002.3482989792)
서울특별시 송파구 송파대로 167 문정역테라타워 A동 301302319-1호 (문정동),의원,127.12055705790934,37.48467382791447,송파구,POINT (966454.092308542 1942893.5958476295)
서울특별시 송파구 동남로 138 삼원빌딩 145층 (문정동),의원,127.1262428071391,37.491123195595705,송파구,POINT (966959.6022988261 1943607.0975782804)
서울특별시 송파구 송파대로 201 송파 테라타워2 B동 206호 (문정동),의원,127.120685887596,37.4877387829749,송파구,POINT (966466.8519574173 1943233.5853206776)
서울특별시 송파구 석촌호수로 60 2층 (잠실동 승정빌딩),의원,127.08549458616856,37.51088452748471,송파구,POINT (963367.0712136291 1945814.5690401837)
서울특별시 송파구 석촌호수로 58 (잠실동),의원,127.08547750146845,37.51108521203789,송파구,POINT (963365.6593901645 1945836.8403600128)
서울특별시 송파구 가락로18길 8 2~3층 (송파동),의원,127.11129599807236,37.50152141767686,송파구,POINT (965643.052723914 1944766.061056445)
서울특별시 송파구 송파대로 381 (석촌동 5층),의원,127.11010162332786,37.50142251866952,송파구,POINT (965537.437900923 1944755.5255567727)
서울특별시 송파구 송파대로 562 238층 (신천동 한빛프라자삼성웰리스아파트),병원,127.09950300358985,37.51532451630079,송파구,POINT (964607.201428785 1946301.7956891996)
서울특별시 송파구 중대로 80 (문정동 LG문정프라자 3층),의원,127.11784451376074,37.49176257607539,송파구,POINT (966217.4723994153 1943681.0132503754)
서울특별시 송파구 마천로41길 9 2층 (마천동),의원,127.14876610033463,37.497220219292174,송파구,POINT (968953.2079212796 1944275.8529944245)
서울특별시 송파구 올림픽로35다길 42 2층 202호 (신천동 한국루터회관),의원,127.10291503978374,37.51532423473071,송파구,POINT (964908.7316892417 1946300.4863670235)
서울특별시 송파구 송파대로 111 205동 411412호 (문정동 파크하비오 하비오타워),의원,127.12299456695088,37.48176651997287,송파구,POINT (966668.2976442747 1942570.1848078705)
서울특별시 송파구 백제고분로 210 3층 (삼전동 백영빌딩),의원,127.08986527624629,37.50356512474248,송파구,POINT (963749.8041416315 1945000.8360811188)
서울특별시 송파구 법원로 114 엠스테이트 C동 204호 (문정동),의원,127.1210105111,37.4860541974,송파구,POINT (966494.797955584 1943046.5767118908)
서울특별시 송파구 백제고분로48길 27 (방이동 4층),의원,127.11610620965068,37.51093333230469,송파구,POINT (966072.4813211621 1945808.5058149546)
서울특별시 송파구 법원로 128 문정에스케이브이원지엘메트로시티 B동 301302호 (문정동),의원,127.1204690793,37.4868620536,송파구,POINT (966447.2928936642 1943136.3955460126)
서울특별시 송파구 백제고분로 216 401호 (삼전동),의원,127.09210824135911,37.5028822371073,송파구,POINT (963947.7235208214 1944924.2125654395)
서울특별시 송파구 송파대로 398 (송파동 3층),의원,127.10961992485744,37.50303306984374,송파구,POINT (965495.6022553262 1944934.382008017)
서울특별시 송파구 정의로8길 7 한스빌딩 1~4층 (문정동),병원,127.1159226744,37.4862142723,송파구,POINT (966045.0699066807 1943066.1587348692)
서울특별시 송파구 송파대로 345 1A동 4층 4001호4002호 (가락동 헬리오시티),의원,127.111686459795,37.49944152822618,송파구,POINT (965676.6131213353 1944535.1687515925)
서울특별시 송파구 송파대로 98 선도빌딩 5층6층 일부호 (문정동),의원,127.12618288343664,37.479698480911225,송파구,POINT (966949.2723988382 1942339.6266526838)
서울특별시 송파구 양산로 40 401501호 (거여동),의원,127.144392411159,37.492403370911,송파구,POINT (968564.5820645642 1943742.9085445367)
서울특별시 송파구 석촌호수로 142 5층 501호 (삼전동),의원,127.092769576537,37.5069644438398,송파구,POINT (964008.1369513914 1945376.8535908149)
서울특별시 송파구 송파대로 284 205호 (가락동 소석빌딩),의원,127.1172884029228,37.49480132393273,송파구,POINT (966169.6827008533 1944018.3412693257)
